k,n,beta
0.45,0.4,0.694422790642462+0i
0.45,0.45,0.6960249800459-5.669291453328e-34i
0.45,0.5,0.697469763623351+0i
0.45,0.55,0.698778953884964-1.22853597335342e-22i
0.45,0.6,0.699970564567625-1.66670057316137e-21i
0.45,0.65,0.701059591257066+2.48572781993931e-46i
0.45,0.7,0.702058610159733-1.77875721489741e-20i
0.45,0.75,0.702978241720746+1.30299862186754e-41i
0.45,0.8,0.703827512849323+4.55682426261671e-22i
0.45,0.85,0.704614142371155+1.1092622280663e-21i
0.45,0.9,0.705344767823362-2.64894049349071e-35i
0.45,0.95,0.70602512704341+0i
0.45,1,0.706660204629388+0i
0.5,0.1,0.714017950363009+0i
0.5,0.15,0.716725437654216-1.25640646927474e-108i
0.5,0.2,0.71906292926099+0i
0.5,0.25,0.721099662951178+0i
0.5,0.3,0.722889049937309+1.29585292557917e-65i
0.5,0.35,0.724472829147569+1.91036996505373e-57i
0.5,0.4,0.725884014261596+8.06127473747315e-21i
0.5,0.45,0.727149015487044+1.64637078907469e-21i
0.5,0.5,0.728289184976136+0i
0.5,0.55,0.729321955661376-3.80299352322228e-43i
0.5,0.6,0.730261690356436+1.97629651792487e-30i
0.5,0.65,0.73112032212446+4.77153422361927e-38i
0.5,0.7,0.73190784256639+1.20002663581327e-26i
0.5,0.75,0.732632678053912-1.77873616087395e-34i
0.5,0.8,0.733301982489963-1.29920165434908e-21i
0.5,0.85,0.733921867233603+9.28778762719229e-28i
0.5,0.9,0.734497583250715+3.99050414913928e-22i
0.5,0.95,0.735033666598307+1.52160032806777e-31i
0.5,1,0.735534055516542+0i
0.55,0.1,0.747044269344955+0i
0.55,0.15,0.749159786199309-3.46204988918984e-23i
0.55,0.2,0.750982821596052+0i
0.55,0.25,0.752569100844181+0i
0.55,0.3,0.753961282855486+8.27014110448077e-40i
0.55,0.35,0.755192511991372+1.29932154214336e-20i
0.55,0.4,0.756288887767813-3.96400313135254e-21i
0.55,0.45,0.757271216615709-5.53898422491112e-22i
0.55,0.5,0.758156273545164+0i
0.55,0.55,0.758957723870042+8.21685323478041e-31i
0.55,0.6,0.759686805763532+1.2650999922368e-30i
0.55,0.65,0.760352842212658-1.00939180272195e-21i
0.55,0.7,0.76096362965184-4.64572330547502e-22i
0.55,0.75,0.761525736309652+3.3284566391138e-22i
0.55,0.8,0.762044733651006-5.71936505581102e-24i
0.55,0.85,0.76252537767485-9.99137371425988e-28i
0.55,0.9,0.76297175222648+8.96579618185917e-32i
0.55,0.95,0.763387383246883-6.27711641189566e-32i
0.55,1,0.763775330577234+0i
0.6,0.1,0.778752654758552+0i
0.6,0.15,0.780367704433402+9.48877209962519e-20i
0.6,0.2,0.781757433229582+0i
0.6,0.25,0.782965368043354+0i
0.6,0.3,0.784024632067169+1.7395295563599e-20i
0.6,0.35,0.784960845876499+2.6073181143019e-57i
0.6,0.4,0.785794115095826+6.17379136073928e-21i
0.6,0.45,0.78654042469011-8.17817092909341e-55i
0.6,0.5,0.78721263476067+0i
0.6,0.55,0.787821203309968-6.49866146668145e-33i
0.6,0.6,0.788374718709869+1.67219254564155e-21i
0.6,0.65,0.788880297426664+3.23881763103921e-37i
0.6,0.7,0.789343884917777-1.22199536388999e-36i
0.6,0.75,0.789770485976721+3.36661146736758e-21i
0.6,0.8,0.790164343003957-1.16330510397059e-21i
0.6,0.85,0.790529075377213+2.26978139581288e-22i
0.6,0.9,0.790867789435797+5.20584758996808e-27i
0.6,0.95,0.791183166034519+4.46695513847523e-29i
0.6,1,0.791477530810058+0i
0.65,0.1,0.809313475688913+0i
0.65,0.15,0.810510001216495-1.5605134669176e-57i
0.65,0.2,0.811538416329996+0i
0.65,0.25,0.812431543383881+0i
0.65,0.3,0.813214244805338-4.33199905003174e-56i
0.65,0.35,0.813905685032996+9.26938780188875e-21i
0.65,0.4,0.81452086328758+2.16912615468179e-21i
0.65,0.45,0.81507167984081+1.51437615341428e-49i
0.65,0.5,0.815567692718306+0i
0.65,0.55,0.816016664219464+1.16826656452165e-31i
0.65,0.6,0.816424961968104-2.42070846550995e-21i
0.65,0.65,0.81679785752858+4.35962827378362e-45i
0.65,0.7,0.817139751737191+1.42032655884463e-36i
0.65,0.75,0.817454346829608+6.21023118296419e-22i
0.65,0.8,0.817744779416123+1.58631299578746e-27i
0.65,0.85,0.818013724282635-1.23494668676733e-22i
0.65,0.9,0.818263476199625+1.75638955317618e-28i
0.65,0.95,0.81849601497487-3.31614819651485e-23i
0.65,1,0.818713057611731+0i
0.7,0.1,0.838862988899109+0i
0.7,0.15,0.83971478814216+7.32574703956545e-116i
0.7,0.2,0.840446259254364+0i
0.7,0.25,0.841081087436304+0i
0.7,0.3,0.841637150393355+1.97647308903734e-20i
0.7,0.35,0.842128191963338-1.8077764292808e-20i
0.7,0.4,0.830986630522412+0.18575717181054i
0.7,0.45,0.842955918440613-4.09146156382027e-21i
0.7,0.5,0.843307927474785+0i
0.7,0.55,0.843626507709091+2.46689997255198e-30i
0.7,0.6,0.843916194777257+1.33598314108721e-29i
0.7,0.65,0.844180740993821+2.36532798553593e-29i
0.7,0.7,0.844423277084123+4.83752688728044e-21i
0.7,0.75,0.844646435525517-3.32993064777866e-22i
0.7,0.8,0.844852445702786+1.56986414941012e-26i
0.7,0.85,0.845043208100796-1.56938675216644e-23i
0.7,0.9,0.845220352720536-2.70068895938222e-22i
0.7,0.95,0.845385285490998+1.19653303741967e-31i
0.7,1,0.845539225454418+0i
0.75,0.1,0.867512111854192+0i
0.75,0.15,0.868085993618416-3.66835361551465e-117i
0.75,0.2,0.86857847201272+0i
0.75,0.25,0.869005669121604+0i
0.75,0.3,0.869379721324459-4.15718210128702e-66i
0.75,0.35,0.869709939898519+8.84173026643512e-49i
0.75,0.4,0.870003586243455-1.78143246192478e-21i
0.75,0.45,0.870266405294719-1.97364869871245e-21i
0.75,0.5,0.870503000915189+0i
0.75,0.55,0.870717105249599+1.42947511637276e-21i
0.75,0.6,0.870911775357318+1.99676547756971e-21i
0.75,0.65,0.87108953900652-2.04794365851736e-21i
0.75,0.7,0.871252504308826+2.76033504852501e-21i
0.75,0.75,0.871402443227797-1.81922651127183e-22i
0.75,0.8,0.871540855937681+3.21341241814642e-28i
0.75,0.85,0.871669020960137+3.5145796064772e-33i
0.75,0.9,0.871788034610319+0i
0.75,0.95,0.871898842317064-1.82348412281183e-21i
0.75,1,0.872002263702836+0i
0.8,0.1,0.895352516372627+0i
0.8,0.15,0.895709250471344-1.27561727046188e-19i
0.8,0.2,0.896015228398192+0i
0.8,0.25,0.896280548115534+0i
0.8,0.3,0.896512796090361+1.45923832045189e-20i
0.8,0.35,0.896717784148317+5.78630910982196e-21i
0.8,0.4,0.896900039458133-3.90875772057806e-20i
0.8,0.45,0.897063140529582-7.43129400536442e-33i
0.8,0.5,0.897209953054557+0i
0.8,0.55,0.897342798783098-2.28591956240754e-21i
0.8,0.6,0.897463578603888-1.03725365235757e-20i
0.8,0.65,0.897573863681848+6.13304181927802e-24i
0.8,0.7,0.897674963917409+1.19578349383514e-21i
0.8,0.75,0.897767980044645+2.61508174931895e-28i
0.8,0.8,0.897853843752063-1.4109986263835e-21i
0.8,0.85,0.897933348917419-2.33166239296578e-22i
0.8,0.9,0.898007176168911-1.05703749362826e-26i
0.8,0.95,0.898075912377594+6.46989414420336e-24i
0.8,1,0.89814006625981+0i
0.85,0.1,0.922460973925211+0i
0.85,0.15,0.922656077295379-3.88203291166026e-20i
0.85,0.2,0.922823361344226+0i
0.85,0.25,0.922968378449863+0i
0.85,0.3,0.923095294188003+2.43623481230276e-20i
0.85,0.35,0.923207296354107+3.68102996464277e-20i
0.85,0.4,0.923306866099101+4.04848082236572e-21i
0.85,0.45,0.923395963411395-4.25838145441308e-21i
0.85,0.5,0.923476157069699+0i
0.85,0.55,0.923548717562779-2.21474021284002e-21i
0.85,0.6,0.923614684733492-5.52528422043395e-40i
0.85,0.65,0.923674917820541+1.97323729819067e-28i
0.85,0.7,0.923730133019216+1.43361540647591e-21i
0.85,0.75,0.923780932047255-5.9963270299429e-22i
0.85,0.8,0.923827824131654+9.93432700317437e-22i
0.85,0.85,0.923871243118087-5.75667497036341e-21i
0.85,0.9,0.923911560919529+1.45486513622251e-23i
0.85,0.95,0.923949098185921+2.68675738927927e-23i
0.85,1,0.923984132842103+0i
0.9,0.1,0.948902525408781+0i
0.9,0.15,0.948986917261126+5.17432359845105e-21i
0.9,0.2,0.949059258878715+0i
0.9,0.25,0.949121960354187+0i
0.9,0.3,0.949176828158886+9.56357706410421e-21i
0.9,0.35,0.949225243781787-5.20253573579354e-21i
0.9,0.4,0.949268281906279-1.93053761925237e-33i
0.9,0.45,0.949306791128443-3.59745619595234e-21i
0.9,0.5,0.949341450442426+0i
0.9,0.55,0.94937280959113+3.4687836926092e-30i
0.9,0.6,0.949401318418824+4.24504446109418e-22i
0.9,0.65,0.949427348572451+9.27251785399771e-29i
0.9,0.7,0.949451209782228-1.82274310727885e-22i
0.9,0.75,0.949473162238292+5.71181580946217e-24i
0.9,0.8,0.949493426113545-6.38461898471548e-22i
0.9,0.85,0.94951218897183+1.86278292068403e-22i
0.9,0.9,0.949529611589561+1.10525920636547e-26i
0.9,0.95,0.949545832573403+2.02727095071569e-22i
0.9,1,0.949560972054677+0i
